model,axis,role,condition,judgment_count,gold_admissible_count,gold_inadmissible_count,accuracy,false_deny_rate,false_admit_rate,unknown_argmax_rate,mean_p_admissible,mean_p_inadmissible,mean_p_unknown
Gemini/gemini-3.6-flash,lifecycle_intent,stable_admissible,block,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,policy_purpose,focal,allow,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,all,16,16,0,0.1875,0.6875,,0.125,0.1875,0.6875,0.125
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,allow,8,8,0,0.0,1.0,,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,block,8,8,0,0.375,0.375,,0.25,0.375,0.375,0.25
Gemini/gemini-3.6-flash,policy_purpose,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,policy_purpose,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,principal_scope,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,principal_scope,focal,allow,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,principal_scope,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,all,16,16,0,0.25,0.75,,0.0,0.25,0.75,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,allow,8,8,0,0.125,0.875,,0.0,0.125,0.875,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,block,8,8,0,0.375,0.625,,0.0,0.375,0.625,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,principal_scope,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
